(5788237, 18)
[0]	train-auc:0.671049+0.000399583	test-auc:0.670654+0.000591893
[10]	train-auc:0.681434+0.000342802	test-auc:0.68075+0.000605227
[20]	train-auc:0.686165+0.000433218	test-auc:0.685217+0.000700173
[30]	train-auc:0.690547+0.000448777	test-auc:0.68932+0.00072042
[40]	train-auc:0.695095+0.000461694	test-auc:0.693612+0.000852165
[50]	train-auc:0.699173+0.000205358	test-auc:0.697419+0.000611795
[60]	train-auc:0.702876+0.000264881	test-auc:0.70088+0.000457818
[70]	train-auc:0.706+0.000487872	test-auc:0.703763+0.000501288
[80]	train-auc:0.708965+0.000704327	test-auc:0.706468+0.000753931
[90]	train-auc:0.711907+0.000899559	test-auc:0.709166+0.000722279
[100]	train-auc:0.714381+0.000916761	test-auc:0.711418+0.000643743
[110]	train-auc:0.716386+0.00113281	test-auc:0.713232+0.000832162
[120]	train-auc:0.718521+0.000688219	test-auc:0.715175+0.000615839
[130]	train-auc:0.720781+0.000776883	test-auc:0.717235+0.000536042
[140]	train-auc:0.722621+0.000655071	test-auc:0.718866+0.000590928
[150]	train-auc:0.724577+0.000838248	test-auc:0.720617+0.000706402
[160]	train-auc:0.726374+0.000993902	test-auc:0.722219+0.000837585
[170]	train-auc:0.728443+0.000699175	test-auc:0.724084+0.000556236
[180]	train-auc:0.730037+0.000682434	test-auc:0.725476+0.000522025
[190]	train-auc:0.731472+0.000538258	test-auc:0.726729+0.000514594
[200]	train-auc:0.733105+0.000653405	test-auc:0.728191+0.0006819
[210]	train-auc:0.734769+0.000577707	test-auc:0.729664+0.0005401
[220]	train-auc:0.736094+0.000459708	test-auc:0.730801+0.000391587
[230]	train-auc:0.737516+0.000533931	test-auc:0.73204+0.000377294
[240]	train-auc:0.738923+0.00052234	test-auc:0.733267+0.000346779
