(5788237, 18)
[0]	train-auc:0.704796+0.00633234	test-auc:0.696194+0.00548318
[10]	train-auc:0.744469+0.00170915	test-auc:0.731304+0.00114648
[20]	train-auc:0.763099+0.00129669	test-auc:0.746174+0.00170537
[30]	train-auc:0.777719+0.00133467	test-auc:0.757262+0.00175129
[40]	train-auc:0.789272+0.00181518	test-auc:0.765166+0.00177781
[50]	train-auc:0.798973+0.00155092	test-auc:0.772054+0.00117704
[60]	train-auc:0.806689+0.00144337	test-auc:0.777444+0.00117094
[70]	train-auc:0.813809+0.00112048	test-auc:0.782317+0.000511415
[80]	train-auc:0.819605+0.00120299	test-auc:0.785965+0.0007822
[90]	train-auc:0.824993+0.00113506	test-auc:0.789449+0.000520426
[100]	train-auc:0.83+0.00120795	test-auc:0.792415+0.00067887
[110]	train-auc:0.834318+0.00117605	test-auc:0.794721+0.000509421
[120]	train-auc:0.838612+0.00112853	test-auc:0.79706+0.000567268
[130]	train-auc:0.842246+0.000504072	test-auc:0.798849+0.000279313
[140]	train-auc:0.845407+0.00054569	test-auc:0.80021+0.000321548
[150]	train-auc:0.848409+0.000484137	test-auc:0.80115+0.000216607
[160]	train-auc:0.851674+0.000565715	test-auc:0.802562+0.000334048
[170]	train-auc:0.854449+0.000760009	test-auc:0.803612+0.000426782
[180]	train-auc:0.857007+0.000687186	test-auc:0.804324+0.000610913
[190]	train-auc:0.85956+0.00061846	test-auc:0.805119+0.000584501
[200]	train-auc:0.862075+0.000598674	test-auc:0.806013+0.000528821
[210]	train-auc:0.864416+0.000613147	test-auc:0.806598+0.000583796
[220]	train-auc:0.866553+0.000558674	test-auc:0.807017+0.000554689
[230]	train-auc:0.868766+0.000415244	test-auc:0.807667+0.000348623
[240]	train-auc:0.870912+0.000375413	test-auc:0.808177+0.000510616
[250]	train-auc:0.872853+0.00050407	test-auc:0.808586+0.000389902
[260]	train-auc:0.874837+0.00050806	test-auc:0.809025+0.000362452
[270]	train-auc:0.87677+0.000555107	test-auc:0.809421+0.000416898
[280]	train-auc:0.87867+0.000612975	test-auc:0.809709+0.000345715
[290]	train-auc:0.880562+0.000545912	test-auc:0.810061+0.000314308
[300]	train-auc:0.882354+0.000592087	test-auc:0.810343+0.000269979
[310]	train-auc:0.883972+0.00073267	test-auc:0.810661+0.000169631
[320]	train-auc:0.885714+0.000755781	test-auc:0.810991+0.00020043
[330]	train-auc:0.887346+0.000644803	test-auc:0.811176+0.000148999
[340]	train-auc:0.888996+0.000688025	test-auc:0.811454+0.000130784
[350]	train-auc:0.890649+0.000619006	test-auc:0.811751+0.000181889
[360]	train-auc:0.892153+0.000581058	test-auc:0.811986+0.00018892
[370]	train-auc:0.893806+0.000770054	test-auc:0.812174+0.000125554
[380]	train-auc:0.895195+0.000679146	test-auc:0.812393+0.000185285
[390]	train-auc:0.896657+0.000661433	test-auc:0.812603+0.00027618
[400]	train-auc:0.898096+0.000682844	test-auc:0.812723+0.000290379
[410]	train-auc:0.899433+0.000704212	test-auc:0.812909+0.000327614
[420]	train-auc:0.90083+0.000703741	test-auc:0.813043+0.000255787
[430]	train-auc:0.902268+0.0006752	test-auc:0.813111+0.000242267
[440]	train-auc:0.903604+0.000701269	test-auc:0.813248+0.000297033
[450]	train-auc:0.904962+0.000770995	test-auc:0.813383+0.000277045
[460]	train-auc:0.906185+0.000755967	test-auc:0.813471+0.00030164
[470]	train-auc:0.907416+0.000661337	test-auc:0.813579+0.000331778
[480]	train-auc:0.908715+0.000626357	test-auc:0.813657+0.000253887
[490]	train-auc:0.909846+0.000533861	test-auc:0.81369+0.000253754
[500]	train-auc:0.910978+0.000507987	test-auc:0.81381+0.000301324
[510]	train-auc:0.912161+0.000603186	test-auc:0.813941+0.000352506
[520]	train-auc:0.91326+0.00064195	test-auc:0.814033+0.000338248
[530]	train-auc:0.914484+0.000610354	test-auc:0.81409+0.000295297
[540]	train-auc:0.915562+0.000590217	test-auc:0.814139+0.000312253
[550]	train-auc:0.916668+0.000660541	test-auc:0.814092+0.000297052
[560]	train-auc:0.917814+0.000679152	test-auc:0.81414+0.00019537
[570]	train-auc:0.918877+0.000664069	test-auc:0.814186+0.000230726
[580]	train-auc:0.919958+0.000625894	test-auc:0.814254+0.000159051
[590]	train-auc:0.920932+0.000611339	test-auc:0.81425+0.000192254
[600]	train-auc:0.922008+0.000703947	test-auc:0.814275+0.000194454
[610]	train-auc:0.923011+0.00070452	test-auc:0.814311+0.000153025
[620]	train-auc:0.923965+0.000658808	test-auc:0.814389+0.000137798
